id,name,run,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,0,0.9685479938780976,1.0,1.0,0.0,1.0,0.7987183519923364,1.0,1.0,0.44496736747576415,0.0
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,1,1.0,0.07135239701192155,0.0,0.14451852719826652,0.3746700042174694,1.0,0.0,0.0,1.0,0.0
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,10,0.4880451589145957,0.15197719253097686,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,11,0.013133398815331373,0.0,0.9647893366998891,0.0,1.0,0.6726439514742543,0.7269484021220026,0.0,0.9392379061622366,0.0
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,12,0.0,1.0,0.12960297819429056,0.8750260367997975,0.0,0.0,1.0,0.7923485251568687,1.0,1.0
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,13,0.5798837554588314,1.0,0.11978946522941566,0.0,0.9571229046339962,0.1609199663409908,0.0,0.0,0.0,0.0
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,14,0.3128934003590391,0.0,0.0,0.32176750239852303,0.0,0.0,1.0,0.47836587617980014,1.0,0.7788902357317761
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,15,1.0,0.6744306108920627,0.0,0.8825847055494859,1.0,0.3932336805988096,1.0,0.22251105129547333,0.4454721843464916,1.0
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,16,0.9180120232179946,0.0,0.0,0.0,0.0,0.5837200669369937,0.0,0.0,1.0,0.4221097955345062
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,17,1.0,0.0,0.0,1.0,0.9464364872362538,1.0,0.6617328388546798,0.0,1.0,1.0
